material_id,bulk_modulus
mp-867854,48.691
mp-10670,45.848
mp-9577,49.839
mp-11285,59.548
mp-11176,131.909
mp-646824,49.399
mp-6008,153.627
mp-1029921,112.618
mp-11430,62.159
mp-10876,70.706
mp-29596,93.704
mp-18300,37.606
mp-27294,34.272
mp-28069,37.483
mp-4192,59.9
mp-7223,60.583
mp-12699,51.992
mp-30315,80.701
mp-1013558,37.265
mp-18167,28.128
mp-755287,109.381
mp-1029610,79.531
mp-8670,85.654
mp-1029659,71.871
mp-1029943,79.585
mp-11822,55.627
mp-9721,58.534
mp-11288,30.44
mp-20581,24.386
mp-14763,88.138
mp-844,67.434
mp-1047,70.981
mp-568172,68.719
mp-568293,72.375
mp-8308,102.596
mp-29342,40.064
mp-11824,63.211
mp-3258,148.022
mp-1013548,57.655
mp-1013550,38.669
mp-541025,40.697
mp-11649,58.542
mp-37657,95.423
mp-1374018,128.105
mp-29241,54.846
mp-4163,129.623
mp-30482,21.746
mp-984744,23.597
mp-9029,87.062
mp-1029782,108.798
mp-30485,22.439
mp-697126,75.603
mp-8789,56.917
mp-551873,44.568
mp-5251,66.517
mp-1029730,88.682
mp-644264,57.274
mp-5380,61.778
mp-13660,49.159
mp-568469,90.623
mp-1029737,88.844
mp-1029660,86.996
mp-8439,39.186
mp-569383,66.312
mp-649479,35.751
mp-866314,125.918
mp-571264,41.626
mp-27145,32.168
mp-1039385,18.063
mp-6473,83.004
mp-12467,36.153
mp-793,40.597
mp-2786,27.439
mp-542496,64.172
mp-989399,42.035
mp-16916,77.543
mp-17875,71.121
mp-1019564,41.392
mp-989404,40.468
mp-17577,78.322
mp-989590,45.559
mp-1029474,79.323
mp-983567,22.937
mp-985450,37.832
mp-864962,38.641
mp-538,34.318
mp-13270,48.592
mp-5615,60.562
mp-997004,97.491
mp-997005,97.227
mp-997030,112.571
mp-12277,67.623
mp-2404,55.931
mp-758658,84.622
mp-2963,81.122
mp-14600,78.458
mp-558636,152.027
mp-559390,75.432
mp-707746,57.584
mp-1019573,126.05
mp-1019584,125.948
mp-1749,56.287
mp-4867,113.819
mp-11350,87.08
mp-568424,66.363
mp-571039,62.104
mp-3173,56.962
mp-567191,55.59
mp-570150,56.461
mp-568177,54.38
mp-888,46.134
mp-3927,60.978
mp-12723,47.167
mp-443,65.801
mp-568920,98.377
mp-865,146.893
mp-6772,84.663
mp-866006,45.159
mp-1041411,85.547
mp-568398,53.944
mp-1018657,49.307
mp-22888,19.942
mp-571166,25.73
mp-917,57.644
mp-1575,58.177
mp-2482,56.56
mp-642822,58.929
mp-2382752,57.491
mp-4124,69.862
mp-3953,75.231
mp-4626,71.259
mp-553939,72.622
mp-2717324,75.372
mp-1073,31.367
mp-1078,39.906
mp-1444,35.875
mp-760403,120.187
mp-569628,53.32
mp-866104,38.807
mp-866279,75.884
mp-568695,42.528
mp-22904,31.987
mp-23214,16.828
mp-7466,77.591
mp-1882,90.279
mp-4120,64.433
mp-22941,44.943
mp-12266,74.693
mp-4826,120.874
mp-8432,73.255
mp-5910,52.044
mp-866228,51.03
mp-2741,80.16
mp-6914,37.038
mp-992,37.61
mp-11284,46.436
mp-11431,90.845
mp-1976,51.077
mp-7263,79.362
mp-31152,81.877
mp-2360,48.071
mp-1024,7.822
mp-567456,49.42
mp-3707,121.058
mp-554678,117.103
mp-7801,110.837
mp-31153,89.711
mp-23713,46.806
mp-24422,14.185
mp-1029359,167.939
mp-11286,36.327
mp-11287,38.37
mp-7041,66.621
mp-30031,3.823
mp-20263,34.02
mp-19968,45.357
mp-22717,59.191
mp-21027,66.9
mp-570769,83.946
mp-620571,60.927
mp-570689,72.999
mp-570436,720887.837
mp-4243,154.842
mp-862795,44.205
mp-866000,40.129
mp-862846,44.947
mp-861643,29.61
mp-862962,42.467
mp-6459,88.959
mp-6766,102.013
mp-562517,76.691
mp-2432,30.093
mp-5795,101.805
mp-1039383,29.005
mp-1023329,38.262
mp-15641,46.805
mp-867144,40.504
mp-13434,438990.187
mp-861738,36.51
mp-5473,50.491
mp-6493,100.479
mp-4864,40.739
mp-867266,33.477
mp-20235,42.796
mp-21096,42.158
mp-989635,106.478
mp-1009657,82.688
mp-676,46.695
mp-867224,41.739
mp-866227,82.434
mp-866220,44.441
mp-8307,132.728
mp-774,115.071
mp-13512,74.289
mp-28645,107.264
mp-2605,105.841
mp-634859,58.943
mp-1345,52.775
mp-10677,69.582
mp-24390,72.678
mp-28339,95.286
mp-20034,34.167
mp-20549,38.108
mp-20463,51.78
mp-213,55.058
mp-833,93.613
mp-3315,161.478
mp-11826,115.09
mp-8161,75.302
mp-7922,21.718
mp-672254,57.601
mp-862882,66.309
mp-862881,42.236
mp-862883,48.969
mp-862884,67.273
mp-862886,87.525
mp-862885,83.697
mp-862888,44.865
mp-867257,40.978
mp-867217,47.326
mp-866015,43.686
mp-842,132.905
mp-30481,167.886
mp-8255,19.548000000000002
mp-4784,147.319
mp-571262,118.844
mp-1672,56.852
mp-4406,64.243
mp-7493,34.216
mp-16245,52.219
mp-1445082,7.511
mp-8487,81.669
mp-4056,144.156
mp-1415,47.761
mp-1563,53.572
mp-862,58.747
mp-2699,62.216
mp-2700,61.714
mp-8372,60.404
mp-12892,53.843
mp-1069604,103.918
mp-1029506,112.846
mp-10797,78.964
mp-4428,76.748
mp-4429,92.549
mp-5733,92.34
mp-8842,65.66
mp-4478,82.686
mp-8982,61.333
mp-8983,102.152
mp-864620,42.683
