num_atoms,volume,density,a,b,c,bulk_modulus
16,232.66361773621125,15.078719506110005,3.97142287,5.42852235,10.79196962,199.949
4,57.721621545457204,5.147889434720236,4.797226200000001,4.7972262,4.7972262,142.913
4,57.65859761657446,3.798254848138263,3.7414228,3.74142238,4.89542532,122.019
4,62.51271976955088,3.887623155887421,3.96877183,3.96877183,3.96877183,78.655
30,356.7483355293301,6.236129965285317,5.69208539,7.70441449,8.13487548,107.974
7,79.90244020222426,2.991752255872531,8.52522866,8.52522883,8.52522826,159.382
15,242.855548879991,4.18184038750084,9.30282286,9.30282286,5.23831366,111.709
15,237.30856315026196,6.124799188931544,5.19855572,5.23768427,9.2218664,116.786
30,326.8367176260852,2.9438567692528532,8.00762465,8.00762465,7.68933993,159.267
28,376.3307400754132,4.461407966277902,7.6047411,7.604740080000001,7.51398438,124.129
12,181.21066560384477,4.230784230267919,4.86761236,4.86761238,8.83122849,119.966
12,181.47526511262905,4.224615547012897,9.18891273,9.18891371,9.18891285,117.921
28,423.0260464420859,5.34980487368469,7.89879136,7.89878977,7.82916186,131.181
12,180.9395436438281,5.850495548905649,4.86370942,4.86371005,8.83217312,126.403
11,125.53526965437996,2.9885899785826773,13.63915494,13.63915494,13.63915545,158.937
14,204.4861111298878,3.536242106765072,4.87554413,4.87554422,8.68812478,105.11
14,223.7804148694432,5.166023064644458,5.01059526,5.01059587,9.00430593,112.677
14,216.75595733916987,4.02899263268438,4.95374883,4.95374975,8.91300468,111.884
14,222.11290881068098,3.885917527028896,5.00096739,5.00096614,8.97717816,107.586
40,569.9430540930636,4.369063839093106,6.24816694,6.24816694,14.59910446,112.097
11,163.8814842412738,5.103490187239212,3.63041885,4.93141852,10.02545382,142.751
22,322.1323684610415,3.718700106002271,6.14125296,6.228800969999999,8.45573685,107.487
6,98.65315808148121,8.170901522283517,5.00705575,5.00705557,4.58486256,94.159
8,87.8583234442031,6.306938399830959,2.87786429,2.8778651,12.24930776,154.008
8,169.43391458523078,3.900206528045246,5.70249387,5.702493729999999,6.58843265,62.691
4,74.87495258029077,4.412872642750271,3.54026351,3.54026351,6.898183,75.663
8,196.76109461055015,4.94158248209632,5.97520594,5.97520573,6.94428435,52.422
8,245.06077534657737,5.285977152821238,6.351812679999999,6.35181277,7.55426112,42.2
2,45.711095228468565,3.701817732546566,4.01339825,4.01339797,4.01339746,67.291
4,91.25387567069636,3.708645614165582,4.002394,4.0023941,6.577805,67.203
6,97.06438401102363,2.8381641815879384,5.20209602,5.20209642,5.20209608,23.997
7,109.60661120321066,16.321434828234278,3.95054965,3.95054965,7.02298437,197.309
8,137.65589310234202,10.805918256010296,3.50319356,6.269408230000001,6.26984198,92.438
12,197.5750765689593,14.150474388042058,3.23188208,6.84537976,8.9305685,120.192
3,49.16337231672166,14.216788479711315,3.34302895,3.34302895,4.9939748,127.617
20,339.8150231225442,15.927331510348557,6.97826608,6.97826608,6.97826608,127.118
8,88.84398089741136,9.56755506329277,2.89769013,2.89769012,12.21781225,172.084
3,25.283444576108337,3.192131297225481,2.99140227,2.99140199,3.262541,190.335
6,69.3340850319378,6.405741275127789,3.0964982,3.2057214200000006,7.16629193,211.148
10,81.46986365297998,3.4972164383042332,5.3144359,5.3144359,5.31443592,202.44
56,650.1227346639857,6.313764090363582,7.03963411,9.39494297,9.82994569,65.18
28,320.55719040230906,6.40247933808456,5.73781189,6.96473999,8.02147638,74.458
2,67.05333348365414,5.8434681389690875,4.56014295,4.56014295,4.56014295,38.773
10,113.67521379155168,8.296037252692315,5.45999944,5.459999440000001,5.45999921,126.197
16,563.9352310791478,3.141176616515876,7.19501765,7.57701744,10.42129312,0.983
8,184.0227839281438,2.4064104355968556,5.95364891,5.953649509999999,6.29212942,10.009
2,22.411533274498698,6.365685470569169,2.81940321,2.81940321,2.81940321,178.781
5,51.59979334082594,6.9444222668578055,3.722911,3.722911,3.722911,232.832
8,87.09966266623839,5.451944112636065,2.82510133,2.8251008,12.60137368,188.491
8,68.69240483448665,5.468390833466301,2.92092274,2.91841184,8.05827478,248.749
4,46.529833832393074,7.0248950630541005,4.03721768,4.03721768,4.03721768,199.303
4,44.48363212792837,7.117473280138013,3.97714801,3.97714808,3.97714752,223.142
4,52.39653557457607,8.909116160808495,4.20022469,4.20022469,4.20022469,230.931
10,136.37894601479212,5.511280115119772,4.05572184,6.3151756,6.32456864,112.579
2,26.932798830272144,5.581466508764784,2.997509,2.997509,2.997509,107.236
4,48.17553201305139,7.5010224258186735,4.08426499,4.08426454,4.08426374,138.352
8,96.14061027598393,7.5174423163800865,4.1725144,4.51171531,5.10701746,131.586
